Time,acc_x,acc_y,acc_z
8.027,-0.02776,-0.03645,-1.00278
8.042,-0.03001,-0.02375,-1.02516
8.058,-0.02636,-0.01957,-1.0169
8.091,-0.03318,-0.02621,-1.00219
8.107,-0.03426,-0.03071,-1.01808
8.123,-0.02189,-0.01872,-1.02202
8.139,-0.01487,0.01206,-1.00906
8.154,-0.01175,0.01364,-1.01046
8.186,-0.00367,0.00168,-1.01681
8.203,1e-05,-0.00045,-1.01441
8.219,-0.00446,0.00733,-1.01421
8.252,-0.00475,0.00874,-1.01204
8.27,-0.00342,-0.00205,-1.01271
8.286,-0.00281,0.00218,-1.01585
8.302,-0.00092,0.01498,-1.01391
8.318,-0.00156,0.00013,-1.01366
8.349,-0.00201,-0.00248,-1.01418
8.366,0.00077,0.01323,-1.01245
8.381,0.00248,0.00496,-1.01485
8.398,0.00108,-0.00153,-1.01668
8.429,0.00427,0.00898,-1.0137
8.446,0.00643,0.00549,-1.01333
8.462,0.00625,0.00096,-1.01506
8.478,0.00517,0.00573,-1.01313
